V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
72.38308,-0.1512117,-0.1081378,-0.09556801,-0.10759931,-0.12045593,-0.10524441,-0.0796895,-0.07851474,-0.0993491,-0.08743861,-0.08177578,-0.08907225,-0.061358079,-0.08935623,-0.10944054,-0.10145765,-0.10028691,-0.08942684,-0.054611653,-0.07620782,-0.10300811,-0.09762565,-0.11795008,-0.07149857
84.23656,-0.1832216,-0.14981979,-0.14128715,-0.14973129,-0.15671517,-0.14291543,-0.12199928,-0.12262857,-0.14094652,-0.12849415,-0.12443896,-0.13257881,-0.113419764,-0.13330173,-0.15060358,-0.13883647,-0.13960668,-0.13650951,-0.10762624,-0.12599389,-0.14736978,-0.13973872,-0.1530032,-0.12116134
69.58767,-0.1317478,-0.10911496,-0.09779244,-0.10223708,-0.1104423,-0.0982883,-0.07911793,-0.0846249,-0.09498502,-0.08242912,-0.07808931,-0.0830189,-0.072230347,-0.08819666,-0.10233022,-0.09278975,-0.0949451,-0.08834615,-0.063993644,-0.07417425,-0.09818898,-0.09057842,-0.11278288,-0.08341733
99.72627,-0.226206,-0.23325189,-0.21893584,-0.21836937,-0.21855424,-0.19718561,-0.19039018,-0.20381553,-0.20598473,-0.19343756,-0.18698522,-0.18955553,-0.19951754,-0.20506745,-0.20843711,-0.20056689,-0.19915768,-0.20192832,-0.188415842,-0.19305212,-0.20775598,-0.20527648,-0.219076,-0.20878414
84.95397,-0.2006412,-0.11334134,-0.10366468,-0.13970661,-0.15656614,-0.13340888,-0.08205537,-0.04787779,-0.12940666,-0.12925829,-0.10659849,-0.12283571,0.001140676,-0.10950285,-0.1496012,-0.13341466,-0.07642178,-0.04599772,-0.025541776,-0.10578819,-0.11436055,-0.11562283,-0.03336245,0.02976668
96.30751,-0.2240032,-0.16178179,-0.15763412,-0.17839523,-0.18546755,-0.15524633,-0.13469043,-0.12335754,-0.16666327,-0.15462547,-0.14108199,-0.15917355,-0.093867847,-0.14667092,-0.17529217,-0.16630617,-0.14851868,-0.13622951,-0.079742175,-0.14450037,-0.16484245,-0.16384888,-0.1271299,-0.05854969
70.56284,-0.139054,-0.10199026,-0.09251933,-0.10132769,-0.11217593,-0.10044253,-0.07621165,-0.07532089,-0.0938124,-0.0825303,-0.07757986,-0.08396016,-0.061819691,-0.08552539,-0.10405447,-0.09495351,-0.09443344,-0.08685652,-0.055357913,-0.07366181,-0.09953858,-0.09240987,-0.11193575,-0.07406999
85.93537,-0.1886302,-0.19179022,-0.17985577,-0.17966512,-0.17963138,-0.162701,-0.15346139,-0.16521664,-0.1689604,-0.15665039,-0.15153313,-0.15475786,-0.161482587,-0.16737248,-0.17275825,-0.16317217,-0.16380357,-0.16560685,-0.154134323,-0.15688168,-0.17150196,-0.16791497,-0.18251286,-0.17168651
82.62323,-0.1853442,-0.14490832,-0.13302017,-0.14464088,-0.15519095,-0.13591188,-0.11498305,-0.11486104,-0.13486884,-0.12187447,-0.11614909,-0.12447857,-0.098605633,-0.12446012,-0.14352519,-0.1352231,-0.1343797,-0.12579826,-0.089657243,-0.11169131,-0.13765216,-0.13252196,-0.1497555,-0.10379651
86.89034,-0.1871479,-0.16553099,-0.15659577,-0.15995592,-0.16657769,-0.15390961,-0.13721157,-0.13993891,-0.15063864,-0.13995565,-0.13591057,-0.14171525,-0.133888477,-0.14700674,-0.1593144,-0.14969232,-0.14885355,-0.14953548,-0.123333918,-0.13810803,-0.15895373,-0.15151614,-0.16620728,-0.1425686
70.07315,-0.1334688,-0.11561934,-0.1039001,-0.1065929,-0.11417791,-0.10168449,-0.08468893,-0.09109769,-0.09887421,-0.08710276,-0.08215234,-0.08645326,-0.079299781,-0.09375366,-0.10535109,-0.09721179,-0.09839656,-0.09297495,-0.069414948,-0.07873223,-0.1022243,-0.09536583,-0.11717083,-0.09074607
78.11639,-0.1631649,-0.15053839,-0.13767096,-0.14050007,-0.14523207,-0.13002713,-0.11422093,-0.12429649,-0.13156467,-0.11782626,-0.11324946,-0.11790004,-0.11354272,-0.12578291,-0.13739785,-0.12694625,-0.12952524,-0.12503871,-0.104534891,-0.11150668,-0.13325501,-0.12685753,-0.14771647,-0.12295278
72.21772,-0.1588033,-0.08936346,-0.08036873,-0.1032308,-0.11648561,-0.10067589,-0.061262,-0.04927526,-0.09499145,-0.08453351,-0.07604081,-0.08881925,-0.025948384,-0.07943266,-0.10998479,-0.09762645,-0.09185324,-0.0734246,-0.035444838,-0.07655558,-0.09741268,-0.09591053,-0.09568063,-0.03207185
162.20299,-0.3026476,-0.31281832,-0.29751399,-0.29606912,-0.30152327,-0.27205273,-0.27522778,-0.28410483,-0.28102196,-0.27461951,-0.26630214,-0.26738662,-0.283172713,-0.28039779,-0.28303906,-0.28235005,-0.26847013,-0.28521906,-0.243611725,-0.2734561,-0.28734002,-0.28541907,-0.28621352,-0.27872564
74.53209,-0.150051,-0.13320966,-0.12194787,-0.124777,-0.13107053,-0.11787005,-0.10090414,-0.10818886,-0.11654199,-0.10392521,-0.09943182,-0.10407618,-0.097704366,-0.11110199,-0.12328223,-0.11350165,-0.11553608,-0.11109961,-0.088890077,-0.09743504,-0.12008791,-0.11289842,-0.13378991,-0.10832357
76.06582,-0.1557649,-0.15105041,-0.13937394,-0.13902481,-0.142486,-0.12865031,-0.11627551,-0.12617433,-0.13022533,-0.11840905,-0.11343108,-0.11683758,-0.119138345,-0.12798665,-0.1348475,-0.12615626,-0.12735448,-0.12595071,-0.110392854,-0.11481215,-0.13348183,-0.12791429,-0.14598427,-0.12996993
73.20937,-0.1490204,-0.11649218,-0.1054182,-0.11406417,-0.12259597,-0.10904077,-0.08611717,-0.0900651,-0.10633322,-0.09191275,-0.08810896,-0.09494846,-0.076525259,-0.09629295,-0.11490566,-0.1030332,-0.10667584,-0.09837923,-0.070991649,-0.08423712,-0.10899319,-0.10103189,-0.1222181,-0.08604732
83.28314,-0.1833361,-0.1479036,-0.13819959,-0.14604219,-0.15678071,-0.14076941,-0.12153254,-0.11882168,-0.13601547,-0.12655565,-0.12025744,-0.12717055,-0.1064027,-0.13006434,-0.14602417,-0.13938386,-0.13337731,-0.13086983,-0.093442282,-0.11831162,-0.14384264,-0.13846154,-0.15227689,-0.11396266
68.67192,-0.126939,-0.1062211,-0.09433475,-0.09897039,-0.10618831,-0.09412144,-0.07503991,-0.08227961,-0.09230644,-0.07854983,-0.07495385,-0.07999734,-0.069892306,-0.08448644,-0.09918114,-0.0879946,-0.09180239,-0.08467231,-0.062903002,-0.07091665,-0.09409329,-0.08588211,-0.10841529,-0.08020354
90.01633,-0.1993583,-0.19696161,-0.18429245,-0.18366364,-0.18689765,-0.16992839,-0.15887199,-0.16942392,-0.17262069,-0.16099891,-0.15535025,-0.15883566,-0.16390683,-0.17158913,-0.17737333,-0.16924828,-0.16864421,-0.17001608,-0.151965559,-0.15904893,-0.17694561,-0.17256609,-0.18860016,-0.17348352
76.32474,-0.1720515,-0.11032091,-0.10255507,-0.12245177,-0.13042724,-0.1126086,-0.07861173,-0.07403915,-0.11323293,-0.0986968,-0.09080885,-0.10513444,-0.05193941,-0.09561114,-0.12430872,-0.10974656,-0.10887449,-0.09490295,-0.055162692,-0.09419941,-0.11329087,-0.1113347,-0.10844246,-0.04892258
112.1694,-0.2454312,-0.20040823,-0.19735751,-0.21073565,-0.21561365,-0.18742145,-0.17513302,-0.17082054,-0.19848529,-0.18761995,-0.17877917,-0.19338284,-0.156806767,-0.18716449,-0.20591476,-0.19680982,-0.18472164,-0.18415612,-0.136210881,-0.18618284,-0.19601347,-0.19476668,-0.17082537,-0.13108638
77.11577,-0.1642709,-0.14278205,-0.12812073,-0.1327443,-0.14135896,-0.12464051,-0.10681825,-0.11479604,-0.12373613,-0.11035682,-0.10497579,-0.11026916,-0.100243978,-0.11732932,-0.13011162,-0.12190592,-0.12300018,-0.11598826,-0.088582147,-0.10060833,-0.12537317,-0.11975277,-0.14257775,-0.10917636
77.85294,-0.1634166,-0.15734301,-0.14385478,-0.14460009,-0.14825224,-0.1326098,-0.1193753,-0.13078173,-0.13548301,-0.1223037,-0.11714612,-0.12103667,-0.121249687,-0.13157524,-0.13994529,-0.13061253,-0.13227005,-0.12930943,-0.111759134,-0.11684743,-0.13683241,-0.13144785,-0.15118236,-0.13128174
72.86924,-0.1547291,-0.0984646,-0.08882019,-0.10602083,-0.1203049,-0.10618003,-0.0747235,-0.06422186,-0.09743701,-0.0895577,-0.08147295,-0.09014272,-0.045972135,-0.0863905,-0.11166276,-0.10388767,-0.0942431,-0.0833026,-0.042919699,-0.07699689,-0.10385048,-0.10020889,-0.1090084,-0.05662451
94.44432,-0.2084591,-0.20214182,-0.18863102,-0.19081243,-0.19376329,-0.17487211,-0.16277434,-0.17400832,-0.17935648,-0.16644851,-0.16098335,-0.1653524,-0.165788364,-0.17531748,-0.18459048,-0.17545699,-0.17554384,-0.17475125,-0.15327453,-0.16208319,-0.18165351,-0.17717466,-0.19439989,-0.17292356
69.10046,-0.1274409,-0.10979519,-0.09902335,-0.10207088,-0.10872585,-0.09726538,-0.07987089,-0.0864764,-0.09512288,-0.08268217,-0.07862405,-0.08309329,-0.075597557,-0.08899833,-0.10179926,-0.0918345,-0.09448605,-0.08903308,-0.06788653,-0.07558206,-0.09817234,-0.09030668,-0.11174367,-0.08668058
